pano_id,center_bbox
TMX7316010203-001647_pano_0003_000487,1009.06
TMX7316010203-001534_pano_0001_000597,1854.9
TMX7316010203-001533_pano_0001_002065,559.75
TMX7316010203-001647_pano_0003_000478,923.44
TMX7316010203-001647_pano_0003_000450,503.14
TMX7316010203-001647_pano_0003_000450,1250.16
TMX7316010203-001647_pano_0003_000444,105.94
TMX7316010203-001647_pano_0003_000444,1450.09
TMX7316010203-001170_pano_0000_002472,1700.3
TMX7316010203-001169_pano_0000_000772,933.76
TMX7316010203-001169_pano_0000_000766,1907.1
TMX7316010203-001533_pano_0001_000510,1167.54
TMX7316010203-001533_pano_0001_000510,354.8
TMX7316010203-001533_pano_0001_000504,704.33
TMX7316010203-001533_pano_0001_000504,1144.52
TMX7316010203-001160_pano_0000_003275,186.16
TMX7316010203-001533_pano_0000_000193,1335.21
TMX7316010203-001534_pano_0001_000420,317.39
TMX7316010203-001533_pano_0000_000192,1105.72
TMX7316010203-001533_pano_0001_000505,375.76
TMX7316010203-001533_pano_0001_000505,1223.93
TMX7316010203-001533_pano_0001_000511,1714.51
TMX7316010203-001533_pano_0001_002299,374.13
TMX7316010203-001160_pano_0000_003300,951.52
TMX7316010203-001170_pano_0000_002473,1852.19
TMX7316010203-001647_pano_0003_000445,1261.65
TMX7316010203-001647_pano_0003_000451,853.99
TMX7316010203-001647_pano_0003_000479,988.15
TMX7316010203-001534_pano_0001_000569,1603.96
TMX7316010203-001647_pano_0003_000486,963.23
TMX7316010203-001533_pano_0001_002064,1324.74
TMX7316010203-001533_pano_0001_002064,492.81
TMX7316010203-001534_pano_0001_000596,1658.61
TMX7316010203-001533_pano_0001_002066,993.13
TMX7316010203-001647_pano_0003_000484,40.92
TMX7316010203-001647_pano_0003_000490,1033.86
TMX7316010203-001532_pano_0000_000325,519.87
TMX7316010203-001534_pano_0001_000557,1622.9
TMX7316010203-001647_pano_0003_000447,948.18
TMX7316010203-001647_pano_0003_000453,69.09
TMX7316010203-001162_pano_0000_002703,1047.1
TMX7316010203-001532_pano_0000_000127,1785.78
TMX7316010203-001170_pano_0000_002471,1416.34
TMX7316010203-001648_pano_0000_000113,1227.22
TMX7316010203-001169_pano_0000_000765,1644.4
TMX7316010203-001169_pano_0000_000017,862.1
TMX7316010203-001169_pano_0000_000771,342.78
TMX7316010203-001169_pano_0000_000759,398.93
TMX7316010203-001169_pano_0000_000759,1190.03
TMX7316010203-001533_pano_0001_000507,1913.06
TMX7316010203-001160_pano_0000_002829,1869.47
TMX7316010203-001160_pano_0000_003262,261.47
TMX7316010203-001160_pano_0000_003276,487.7
TMX7316010203-001147_pano_0002_000366,1222.03
TMX7316010203-001532_pano_0000_000292,69.87
TMX7316010203-001532_pano_0000_000292,904.78
TMX7316010203-001169_pano_0000_000573,1660.13
TMX7316010203-001532_pano_0000_000279,726.99
TMX7316010203-001532_pano_0000_000278,241.43
TMX7316010203-001542_pano_0001_000193,1805.18
TMX7316010203-001534_pano_0001_000422,1669.47
TMX7316010203-001532_pano_0000_000293,955.9
TMX7316010203-001160_pano_0000_003277,828.29
TMX7316010203-001160_pano_0000_003263,750.32
TMX7316010203-001533_pano_0000_000191,860.47
TMX7316010203-001533_pano_0001_000512,1919.58
TMX7316010203-001160_pano_0000_002828,1707.15
TMX7316010203-001169_pano_0000_000758,1068.87
TMX7316010203-001169_pano_0000_000758,645.6
TMX7316010203-001533_pano_0001_000506,1658.89
TMX7316010203-001533_pano_0001_000506,218.72
TMX7316010203-001169_pano_0000_000770,576.75
TMX7316010203-001169_pano_0000_000764,1167.45
TMX7316010203-001169_pano_0000_000764,373.88
TMX7316010203-001170_pano_0000_000529,597.32
TMX7316010203-001162_pano_0000_002702,1164.04
TMX7316010203-001647_pano_0003_000452,913.63
TMX7316010203-001647_pano_0003_000446,898.76
TMX7316010203-001647_pano_0003_000491,1025.24
TMX7316060226-000478_pano_0001_000227,357.9
TMX7316010203-001533_pano_0001_002067,1314.34
TMX7316010203-001533_pano_0001_002063,983.86
TMX7316010203-001533_pano_0001_002077,1332.53
TMX7316010203-001647_pano_0003_000442,956.33
TMX7316010203-001168_pano_0000_003745,964.93
TMX7316010203-001532_pano_0000_000308,826.59
TMX7316010203-001647_pano_0003_000456,860.72
TMX7316060226-000478_pano_0002_001872,1016.63
TMX7316060226-000478_pano_0002_001866,825.38
TMX7316010203-001170_pano_0000_000511,1458.88
TMX7316010203-001533_pano_0001_000502,1081.71
TMX7316010203-001147_pano_0002_000388,1762.33
TMX7316010203-001160_pano_0000_003298,1807.62
TMX7316010203-001533_pano_0001_000516,509.75
TMX7316010203-001169_pano_0000_000760,1650.01
TMX7316010203-001153_pano_0000_001017,710.61
TMX7316010203-001147_pano_0002_000363,657.53
TMX7316010203-001160_pano_0000_003273,788.23
TMX7316010203-001532_pano_0000_000297,1398.28
TMX7316010203-001532_pano_0000_000297,100.99
TMX7316010203-001542_pano_0001_000168,345.89
TMX7316010203-001542_pano_0001_000196,455.36
TMX7316010203-001542_pano_0001_000169,692.32
TMX7316010203-001169_pano_0000_000577,1428.64
TMX7316010203-001532_pano_0000_000296,1634.56
