x,y,score
113466.55064,487173.12134,6
113463.17787,487169.83778,4
113397.06971,487233.05537,4
113400.66320,487235.97090,6
120346.75970,489852.78948,10
120382.75813,489956.41239,2
120381.29541,489958.85421,10
120142.92599,489676.40376,2
120140.00542,489675.13861,2
120151.53615,489661.80030,2
120155.84122,489672.48381,2
120226.71860,489758.43202,2
120229.63127,489759.24045,6
120060.45153,489768.18699,4
120052.50408,489775.25928,4
120150.58093,489760.07002,4
120150.56886,489754.09868,4
120118.83027,489759.19860,4
120114.23815,489765.90710,4
120319.74766,490149.43178,12
120297.06858,490169.52855,2
120300.00375,490167.10835,8
120026.68230,490072.45998,10
120000.13603,490066.16373,10
119940.96092,490017.46193,4
119933.86258,489979.94178,10
119923.49569,489992.21545,12
119924.32317,489833.14853,8
119930.19244,489907.52006,12
119934.87611,489878.92259,8
120197.59315,490138.24084,16
120115.84781,490107.90681,9
120542.17284,489473.51107,2
120343.88625,489429.17439,2
120352.71098,489412.53592,4
119830.50139,488447.99166,2
120565.95454,488848.63784,2
120561.24135,488862.98008,2
120751.29284,488784.73809,2
119986.36901,488054.02340,2
119990.82019,488020.98045,6
119991.00824,488034.28981,2
120000.94540,488034.68500,2
119996.30470,488033.85002,4
119999.31421,488029.01676,2
119995.77432,488029.58991,2
119986.24288,488040.33002,2
119977.26960,488039.21014,5
119977.11044,488044.88978,9
119973.07065,488035.92318,2
119972.20563,488031.34104,2
119969.72609,488030.12867,2
120031.37955,488003.63927,8
120035.62017,488012.53444,10
120039.58760,488012.66444,2
120040.50523,488017.09979,5
120031.18425,488015.69270,2
120035.26412,488017.30040,4
120133.64447,488009.14091,2
120114.34586,488028.78353,3
120118.69867,488029.57333,4
120119.16152,488025.46037,14
120117.13704,488012.22719,2
120126.42475,488017.19822,2
120121.94999,488017.29405,8
120095.34787,488006.53807,14
120087.16688,488018.11102,2
120092.21231,488014.66289,8
120091.61250,488017.35112,6
120064.36838,487997.69484,4
120073.05643,488011.80401,2
120063.95351,488007.63836,11
120067.02639,488011.05078,2
120064.52518,488011.88766,2
120939.66536,487390.47651,6
120963.95592,487407.28340,2
120959.07314,487406.59942,4
120495.00933,488445.07890,4
120504.52586,488472.64993,2
120507.71980,488476.54647,4
120520.69674,488508.97681,2
120533.02599,488540.25231,2
120992.80131,488399.11954,4
120813.48325,488566.35142,6
120796.59663,488581.77939,6
120752.81607,488621.65124,6
120764.71373,488611.41637,2
120775.72327,488601.92659,2
120778.35694,488598.75861,2
120781.54758,488597.05222,2
120867.36845,488518.16240,2
120870.18739,488514.57865,2
120852.15467,488531.05069,2
120833.70733,488548.15072,2
120839.71647,488545.07776,2
120955.45277,488433.80311,4
120971.73158,488418.94319,6
120937.65569,488450.46887,2
120920.20297,488467.08440,6
120903.03337,488482.72199,4
120888.99362,488496.05458,6
120634.45275,488559.19889,4
120641.14713,488554.03802,4
120650.08919,488583.12475,8
120664.28454,488588.62140,6
120069.94887,487239.89844,6
120127.48175,488687.59485,2
120126.98811,488718.25528,2
120259.35273,487020.32219,2
120225.74061,487103.78423,2
120237.09152,487076.98552,4
120193.35927,487179.78290,2
120207.51631,487146.41373,2
120228.74871,488533.34291,2
120171.55091,488589.16771,2
120192.39947,488558.89200,2
120197.15633,488564.15287,4
120335.74617,488428.93228,2
120301.31066,488462.52638,2
120281.01077,488471.11475,2
120401.61180,488263.27560,2
120408.72678,488223.86636,2
120410.13466,488226.03318,2
120388.11103,488209.58805,4
120395.79251,488191.18194,4
120373.28858,488392.35405,2
120394.00265,488345.64892,6
120420.01686,488311.56295,2
120465.50592,488302.79994,2
120459.81815,488300.86242,2
120461.27206,488303.19143,2
120355.30163,488127.46198,4
120333.75572,488073.11101,4
120356.56174,488091.78747,2
120357.21418,488095.89693,2
120359.69416,488096.21594,2
120124.57176,487462.93257,2
120226.12677,487757.48665,4
120264.96680,487854.99508,8
120324.96014,488005.98212,2
120317.54234,488001.60613,2
120321.11869,488001.45198,2
120348.63423,487979.09031,6
120328.49476,487975.78475,2
120330.27314,487973.08583,2
120335.89254,487984.42988,4
120331.67472,487984.51412,4
120285.87255,488006.69092,2
120288.97136,488007.54871,4
120284.55387,487987.93637,2
120290.79899,487994.34989,2
120291.16296,487911.99272,2
120287.61505,487914.23381,2
120289.43402,487915.97849,2
120276.41492,487910.25815,6
120270.67721,487905.22097,5
120271.94734,487898.80297,5
120284.73673,487881.20682,2
120277.26081,487887.47706,6
120297.33665,487966.52367,2
120303.34207,487962.89671,6
120287.74319,487939.03786,2
120298.72290,487943.43660,4
120238.77516,487789.82525,2
120251.21243,487822.10367,6
120161.70276,487593.44869,10
120137.83536,487528.53518,8
120149.60464,487560.91480,6
120200.42101,487691.87838,6
120213.01118,487724.18969,6
120187.83069,487659.15603,4
120175.14783,487626.45185,4
120455.28121,487369.47018,2
120436.48218,487380.47897,6
120430.79152,487360.61212,2
120432.15308,487363.17433,2
120390.21392,487362.12432,6
120412.97475,487371.35172,4
120411.11676,487352.58981,2
120408.20859,487354.13719,2
120407.73039,487351.27405,2
120271.80472,487298.46335,4
120362.28073,487335.83746,4
120340.70905,487327.45404,2
120340.19321,487342.30533,6
120316.91752,487332.95272,4
120315.81741,487320.27135,2
120317.29031,487317.96789,2
120294.56122,487308.61600,2
120292.54685,487323.23422,4
120499.05481,487390.12777,6
120532.00444,487418.51295,8
120545.70951,487406.36896,2
120539.98260,487406.26579,4
120509.30889,487409.18086,2
120525.80792,487393.79796,2
120522.23597,487400.62415,2
120521.69837,487397.73820,2
120797.80453,487474.58243,4
120807.29956,487482.32015,2
120814.91450,487475.03978,4
120807.88176,487457.44683,4
120792.31169,487458.22846,4
120681.03678,487479.57271,6
120663.76918,487472.61312,8
120674.05616,487459.07360,8
120659.83892,487453.58686,8
120662.24709,487446.88005,4
120576.09662,487436.27858,8
120587.95286,487425.22244,4
120641.07620,487463.92484,2
120638.12734,487461.46657,4
120609.00612,487434.24112,6
120601.79843,487447.25342,2
120598.17092,487446.57600,4
120623.59074,487442.91839,2
120630.52111,487442.97254,4
120609.84576,487459.48618,2
120622.37988,487456.37227,2
120619.73135,487453.93882,4
120759.18623,487481.32404,6
120760.05837,487459.95379,6
120701.58807,487463.37301,4
120711.94632,487484.11601,6
120735.04219,487482.70930,8
120734.06894,487461.65251,8
120359.35049,487871.80492,6
120340.99959,487825.58230,7
120323.03347,487777.26706,6
120333.80419,487782.57653,4
120303.63338,487727.88143,6
120317.51100,487740.91423,6
120281.46132,487671.68022,6
120296.37392,487681.42740,2
120294.52329,487683.50295,4
120198.48848,487449.28680,8
120192.93014,487416.16140,6
120206.08487,487424.84950,6
120185.74277,487382.11278,4
120195.45673,487367.78451,6
120188.95256,487333.56672,4
120199.34646,487267.99731,4
120185.13180,487304.15425,2
120203.84908,487294.16479,2
120258.76115,487613.41238,8
120272.83288,487628.40790,8
120219.29377,487484.77349,2
120204.60764,487494.77029,4
120233.68042,487523.35401,4
120214.85223,487521.65752,4
120251.14253,487573.26410,6
120241.67197,487576.18726,2
120243.25996,487573.95222,6
120226.14924,487560.79628,2
120240.56077,487546.53171,6
120229.06601,487547.44413,4
119814.29549,487130.73714,2
119795.64896,487141.74024,2
119800.10185,487143.55827,2
119802.69176,487141.59126,4
119671.48344,487319.15375,5
119617.04919,487257.83205,4
114472.89525,483843.74575,2
114463.22452,483844.01680,2
114485.74265,483886.72948,2
114491.63480,483872.86285,2
113993.45258,486580.07793,4
114056.18668,486382.13020,6
114024.14929,486480.83496,4
131091.33303,479764.22163,2
131097.14545,479569.94683,4
131133.05752,479657.39336,2
131146.34456,479686.89140,2
131180.26579,480511.13428,6
131193.97562,480517.40464,8
131162.33037,480461.17944,4
131174.44137,480470.67375,8
131150.54497,480405.61279,4
131138.74616,480396.51258,6
131093.46152,480315.56327,8
131117.78896,480335.71334,2
131129.80993,480343.69087,2
131129.55517,480340.42098,6
131351.84478,480491.50423,4
131292.29755,480519.09424,6
131307.93597,480502.74410,6
131554.39888,480336.59894,10
131514.34485,480389.86349,10
131415.06131,480464.23347,4
131424.37773,480450.55646,2
131440.08658,480451.35630,4
131471.14894,480419.91272,8
131451.87461,480433.75806,8
131464.39210,480435.23997,12
131028.21041,479924.50887,2
130999.24290,480173.22661,2
