lat,lon
52.370864,4.777339
52.370834,4.77729
52.371397,4.776311
52.371424,4.776364
52.395424,4.878085
52.396358,4.878603
52.39638,4.878582
52.393826,4.875109
52.393814,4.875066
52.393695,4.875237
52.393792,4.875299
52.394569,4.876331
52.394576,4.876374
52.394646,4.873888
52.394709,4.87377
52.394578,4.875213
52.394525,4.875213
52.394569,4.874746
52.394629,4.874678
52.398088,4.877658
52.398268,4.877322
52.398246,4.877366
52.397378,4.87336
52.39732,4.872971
52.396878,4.872106
52.396541,4.872006
52.39665,4.871852
52.395221,4.871881
52.39589,4.87196
52.395633,4.872031
52.39798,4.875864
52.397702,4.874666
52.392028,4.880995
52.391617,4.878087
52.391468,4.878218
52.382766,4.870648
52.386413,4.881408
52.386542,4.881338
52.385851,4.884137
52.379235,4.872978
52.378939,4.873047
52.379058,4.873048
52.379062,4.873194
52.379055,4.873126
52.379011,4.873171
52.379016,4.873119
52.379112,4.872978
52.379102,4.872846
52.379153,4.872843
52.379072,4.872785
52.379031,4.872772
52.37902,4.872736
52.378785,4.873644
52.378866,4.873706
52.378867,4.873764
52.378907,4.873777
52.378894,4.87364
52.378908,4.8737
52.378841,4.875146
52.379017,4.87486
52.379024,4.874924
52.378987,4.874931
52.378868,4.874903
52.378913,4.875039
52.378914,4.874973
52.378815,4.874583
52.378919,4.874462
52.378888,4.874537
52.378912,4.874528
52.378734,4.874129
52.378861,4.874256
52.378823,4.874122
52.378854,4.874167
52.378862,4.87413
52.373332,4.887045
52.373484,4.8874
52.373478,4.887329
52.382782,4.880408
52.38303,4.880545
52.383066,4.880591
52.383358,4.880778
52.38364,4.880956
52.3824,4.887724
52.383892,4.885073
52.384029,4.884823
52.384385,4.884176
52.384294,4.884352
52.384209,4.884515
52.384181,4.884554
52.384166,4.884601
52.383462,4.885869
52.38343,4.885911
52.383577,4.885644
52.38373,4.885372
52.383702,4.88546
52.382709,4.887171
52.382577,4.887412
52.382858,4.886908
52.383006,4.88665
52.383146,4.886397
52.383265,4.886189
52.383816,4.882444
52.38377,4.882543
52.384032,4.882671
52.384083,4.882879
52.371924,4.87429
52.384938,4.874985
52.385214,4.874974
52.369963,4.877094
52.37071,4.876592
52.37047,4.876761
52.371391,4.876108
52.371092,4.87632
52.383558,4.876488
52.384057,4.875642
52.383786,4.875952
52.383833,4.876021
52.382627,4.87807
52.382927,4.877561
52.383003,4.877262
52.381142,4.879055
52.380789,4.879163
52.380808,4.879184
52.380659,4.878862
52.380494,4.878977
52.382301,4.878625
52.381882,4.878935
52.381577,4.87932
52.381501,4.879989
52.381484,4.879906
52.381505,4.879927
52.379919,4.878389
52.379429,4.878078
52.379598,4.878411
52.379635,4.87842
52.379638,4.878456
52.373932,4.875069
52.376585,4.87653
52.377464,4.87709
52.378825,4.877956
52.378785,4.877847
52.378784,4.8779
52.378585,4.878306
52.378554,4.878011
52.37853,4.878037
52.378632,4.878118
52.378633,4.878056
52.378829,4.877381
52.378837,4.877427
52.37866,4.877364
52.378718,4.877455
52.377978,4.877469
52.377998,4.877417
52.378014,4.877443
52.377962,4.877253
52.377916,4.877169
52.377858,4.877188
52.377701,4.877378
52.377757,4.877267
52.378469,4.877554
52.378436,4.877643
52.378221,4.877416
52.378261,4.877577
52.376877,4.876712
52.377168,4.876892
52.375107,4.875601
52.374522,4.875257
52.374814,4.875426
52.375994,4.876159
52.376285,4.876341
52.375699,4.875978
52.375405,4.875795
52.373113,4.879935
52.373211,4.879658
52.373032,4.879576
52.373055,4.879596
52.373043,4.87898
52.373127,4.879313
52.372958,4.879288
52.372972,4.879245
52.372946,4.879239
52.372463,4.877248
52.372805,4.878573
52.372728,4.878257
52.372861,4.878248
52.372776,4.877907
52.372662,4.877892
52.372641,4.877914
52.372556,4.877581
52.372687,4.87755
52.373301,4.880576
52.373558,4.881056
52.37345,4.881259
52.373449,4.881175
52.373473,4.880724
52.373336,4.880968
52.373397,4.880915
52.373371,4.880907
52.374079,4.884954
52.374149,4.885092
52.374084,4.885205
52.373925,4.885103
52.373932,4.884875
52.374116,4.883239
52.374053,4.882986
52.373932,4.883138
52.373882,4.88293
52.373821,4.882966
52.373721,4.881702
52.373622,4.881877
52.373973,4.882653
52.373951,4.88261
52.373705,4.882186
52.373821,4.882078
52.373815,4.882025
52.373783,4.882399
52.373784,4.882501
52.373931,4.882195
52.373904,4.88238
52.373882,4.882341
52.374137,4.884386
52.373945,4.884401
52.373972,4.883542
52.374159,4.883692
52.374148,4.884031
52.373959,4.884019
52.377621,4.878474
52.377205,4.87821
52.376769,4.877951
52.376818,4.878109
52.376324,4.877671
52.376442,4.877874
52.375818,4.877351
52.375906,4.877569
52.375925,4.877542
52.373814,4.876156
52.373516,4.876078
52.373595,4.87627
52.373209,4.875976
52.373081,4.87612
52.372773,4.876028
52.372185,4.876187
52.372509,4.875975
52.37242,4.876251
52.375293,4.877024
52.375428,4.877229
52.374134,4.876458
52.374223,4.876241
52.374482,4.876665
52.374465,4.876389
52.374931,4.876916
52.374957,4.876777
52.374937,4.8768
52.374818,4.876551
52.374691,4.876764
52.374698,4.876595
52.370926,4.870548
52.371024,4.870273
52.371041,4.870338
52.371023,4.870376
52.372611,4.868431
52.372056,4.867638
52.341017,4.792516
52.341019,4.792374
52.341405,4.792699
52.34128,4.792787
52.365574,4.785148
52.3638,4.786093
52.364684,4.78561
52.305327,5.036656
52.303581,5.036755
52.304368,5.037275
52.304634,5.037468
52.312044,5.037907
52.3121,5.038108
52.311594,5.037647
52.31168,5.037824
52.311094,5.037479
52.311012,5.037306
52.310282,5.036648
52.310464,5.037003
52.310536,5.037179
52.310507,5.037175
52.311874,5.040424
52.31212,5.039549
52.311974,5.03978
52.310491,5.043405
52.310968,5.042814
52.311632,5.041353
52.31151,5.041491
52.311517,5.041721
52.311236,5.042179
52.31136,5.041895
52.311374,5.042079
52.306765,5.035719
52.308999,5.035276
52.30867,5.035548
52.30838,5.035913
52.308129,5.036012
52.308084,5.035772
52.308161,5.035782
52.299963,5.046961
52.300151,5.04718
52.300286,5.047205
52.301233,5.03718
52.299021,5.04026
52.298707,5.040268
52.300841,5.037931
52.30057,5.038355
52.300189,5.039452
52.300368,5.039211
52.300379,5.038932
52.300489,5.038743
52.299883,5.039945
52.299503,5.039989
52.298161,5.043048
52.29845,5.04237
52.298318,5.04274
52.298283,5.04246
52.298265,5.042534
52.298768,5.045197
52.298441,5.044051
52.298378,5.044309
52.298452,5.044382
52.337688,4.892407
52.358606,4.886282
52.357955,4.886225
52.361007,4.886483
52.36127,4.886634
52.361424,4.886224
52.361523,4.885754
52.361602,4.885849
52.361694,4.885404
52.361912,4.885191
52.360007,4.886578
52.359808,4.88643
52.3582,4.890503
52.359606,4.887608
52.359217,4.88804
52.359123,4.888285
52.358772,4.888762
52.3585,4.889316
52.358334,4.88943
52.344402,4.888774
52.344483,4.887143
52.344531,4.886292
52.352731,4.889989
52.352789,4.891644
52.35283,4.891933
52.352566,4.891089
52.352563,4.891141
52.352824,4.890684
52.352853,4.890898
52.352911,4.890894
52.350881,4.891418
52.351065,4.89139
52.351288,4.891324
52.351489,4.891298
52.351569,4.891423
52.351539,4.891415
52.352167,4.891471
52.352157,4.891407
52.351926,4.891221
52.351916,4.891322
52.351974,4.89134
52.352013,4.891239
52.352009,4.891309
52.351705,4.891306
52.351822,4.891451
52.351765,4.891428
52.348403,4.891464
52.350692,4.891737
52.349562,4.891563
52.350613,4.891451
52.35048,4.891697
52.350452,4.891468
52.349927,4.891619
52.349897,4.89139
52.349741,4.891595
52.349809,4.891208
52.349752,4.891371
52.350105,4.891646
52.350098,4.891418
52.350295,4.891669
52.350271,4.891442
52.349401,4.891325
52.349203,4.891301
52.34864,4.891447
52.348661,4.891227
52.349016,4.891272
52.348833,4.89147
52.348835,4.891231
52.348865,4.891253
52.347915,4.891344
52.348102,4.891429
52.347345,4.890884
52.347451,4.89128
52.347643,4.891306
52.346923,4.891372
52.34691,4.890717
52.346957,4.890679
52.34729,4.892398
52.347289,4.892347
52.346897,4.892147
52.346889,4.892052
52.347455,4.886336
52.347471,4.886629
52.347104,4.887852
52.347504,4.888136
52.3475,4.888088
52.347433,4.889219
52.347056,4.888751
52.350436,4.885842
52.350707,4.885869
52.350931,4.885869
52.351325,4.885871
52.351151,4.885869
52.351227,4.886066
52.349998,4.886063
52.349939,4.885577
52.352532,4.886066
